date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:11	767957/767957	---M--	200	added ('OK')	application/pdf	etag:%22d843976a7b3fce1:444%22	http://www.bridgemin.org/pdfs/2012AnnualReport.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2012AnnualReport.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:25:21	430782/430782	---M--	200	added ('OK')	application/pdf	etag:%22bdfcd34aae1ca1:444%22	http://www.bridgemin.org/pdfs/2009_Annual_Report.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2009_Annual_Report.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:25:25	576324/576324	---M--	200	added ('OK')	application/pdf	etag:%224d31a4606adfcb1:444%22	http://www.bridgemin.org/pdfs/2010_Annual_Report.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2010_Annual_Report.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:25:48	103748/103748	---M--	200	added ('OK')	image/jpeg	etag:%2252fa27eda9e1ca1:444%22	http://www.bridgemin.org/mobility/images/MobilityVolunteer.JPG	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/images/MobilityVolunteer.jpg	(from http://www.bridgemin.org/mobility/donate_equip.html)
13:26:01	72510/72510	---M--	200	added ('OK')	image/jpeg	etag:%2251f115a1f5fcce1:444%22	http://www.bridgemin.org/mobility/images/2013Warehouse.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/images/2013Warehouse.jpg	(from http://www.bridgemin.org/mobility/donate_equip.html)
13:26:06	31858/31858	---M--	200	added ('OK')	image/jpeg	etag:%227660c26e9dcb1:444%22	http://www.bridgemin.org/images/Christmas_Giving.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/Christmas_Giving.jpg	(from http://www.bridgemin.org/donate/index.html)
13:26:20	2141625/2141625	---M--	200	added ('OK')	application/pdf	etag:%222664a72faae1ca1:444%22	http://www.bridgemin.org/pdfs/2008WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2008WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:26:25	24727/24727	---M--	200	added ('OK')	image/jpeg	etag:%22cac02f82aae1ca1:444%22	http://www.bridgemin.org/spiritualcare/images/joyce_stephanie.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/images/joyce_stephanie.jpg	(from http://www.bridgemin.org/spiritualcare/sec.html)
13:26:32	2642597/2642597	---M--	200	added ('OK')	application/pdf	etag:%225ce3a914aae1ca1:444%22	http://www.bridgemin.org/pdfs/2008FallNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2008FallNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:26:35	182171/182171	---M--	200	added ('OK')	application/pdf	etag:%22b6f84ef5cc3cd1:444%22	http://www.bridgemin.org/pdfs/Gift_Certificate_Dec_2012.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/Gift_Certificate_Dec_2012.pdf	(from http://www.bridgemin.org/donate/index.html)
13:26:36	66673/66673	---M--	200	added ('OK')	image/jpeg	etag:%222aaac27eaae1ca1:444%22	http://www.bridgemin.org/spiritualcare/images/2009_SEC_NPC.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/images/2009_SEC_NPC.jpg	(from http://www.bridgemin.org/spiritualcare/sec.html)
13:26:37	7958/7958	---M--	200	added ('OK')	image/jpeg	etag:%227a6ec84aae1ca1:444%22	http://www.bridgemin.org/spiritualcare/images/Sheryl_Sue07.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/images/Sheryl_Sue07.jpg	(from http://www.bridgemin.org/spiritualcare/circle-of-friends.html)
